levobupivacaine	KCNH2	
levobupivacaine	SCN1A	
levobupivacaine	SCN4A	
levobupivacaine	PTGER1	
levobupivacaine	CYP2D6	
levobupivacaine	HTR3A	
levobupivacaine	KCND3	
levobupivacaine	KCNA5	
(S)-nitrendipine	KCNN4	
(S)-nitrendipine	CACNA1D	
(S)-nitrendipine	CACNA1F	
(S)-nitrendipine	CACNA1C	
levdobutamine	ADRB1	
aminopterin	DHFR	
phenylbutanoic acid	AKR1B1	
phenylbutanoic acid	HDAC2	
phenylbutanoic acid	HDAC1	
phenylbutanoic acid	HDAC8	
azacitidine	DNMT1	
azacitidine	DNMT3A	
fluorouracil	TYMS	
fluorouracil	ABCC5	
fluorouracil	ABCC11	
methoxsalen	ACHE	
methoxsalen	CYP1A2	
methoxsalen	MAOA	
abarelix	GNRHR	
acarbose	MGAM	
acarbose	AMY2A	
acarbose	GAA	
acarbose	SI	
acebutolol	ADRB1	
acebutolol	ADRB2	
aceclofenac	TTR	
aceclofenac	MAPK1	
aceclofenac	PTGS2	
acemetacin	PTGS2	
acemetacin	PTGS1	
acemetacin	GLO1	
acenocoumarol	VKORC1	
acefylline	ADORA2B	
aceprometazine	HRH1	
paracetamol	PTGS2	
paracetamol	TRPV1	
paracetamol	NR1I3	
paracetamol	CA2	
paracetamol	CA1	
paracetamol	CA4	
paracetamol	CA9	
paracetamol	CA12	
paracetamol	CA7	
paracetamol	CA3	
paracetamol	CA14	
paracetamol	ALOX5AP	
paracetamol	MB	
paracetamol	CNR1	
acetanilide	NAPRT	
acetazolamide	CA2	
acetazolamide	CA1	
acetazolamide	CA4	
acetazolamide	CA9	
acetazolamide	CA12	
acetazolamide	AQP1	
acetazolamide	CA5A	
acetazolamide	CA5B	
acetazolamide	CA7	
acetazolamide	CA3	
acetazolamide	CA6	
acetazolamide	CA14	
acetazolamide	CA13	
acetazolamide	CA11	
acetohydroxamic acid	CA2	
acetophenazine	DRD2	
racecadotril	ACE	
racecadotril	MME	
racecadotril	ECE1	
acetoxolone	CES1	
acetoxolone	HSD17B1	
acetoxolone	HSD17B2	
acetoxolone	HSD11B2	
acetoxolone	HSD11B1	
acetoxolone	CES2	
acetylcholine	CHRM1	
acetylcholine	CHRM2	
acetylcholine	CHRM3	
acetylcholine	CHRM4	
acetylcholine	CHRM5	
acetylcholine	CHRNA7	
acetylcysteine	CYCS	
acetylcysteine	VEGFA	
acetylcysteine	SOD2	
acetylcysteine	GSS	
acetylcysteine	SLC7A11	
acepromazine	DRD1	
acepromazine	DRD2	
acepromazine	PRNP	
acetylsalicylic acid	PTGS2	
acetylsalicylic acid	PTGS1	
acetylsalicylic acid	GGT1	
acetylsalicylic acid	ASIC3	
acetylsalicylic acid	NAPRT	
acipimox	HCAR2	
acitretin	RARA	
acitretin	ABCB11	
acitretin	RARG	
aclarubicin	HTR2B	
aclarubicin	MMP2	
aclarubicin	TOP1	
acrivastine	ABCB1	
acrivastine	HRH1	
acyclovir	PNP	
acyclovir	PNP	
adapalene	GLRA1	
adapalene	RARA	
adapalene	RARB	
adapalene	RARG	
adefovir dipivoxil	POLG	
adenine	XDH	
adenosine	ADORA2A	
adenosine	ADORA1	
adenosine	ADORA2B	
adenosine	ADORA3	
adenosine	ADK	
adenosine	ADA	
adenosine	MAP3K7	
adenosine	AHCY	
adenosine	PI4K2A	
adenosine	PI4K2B	
adenosine	GAPDH	
adenosine	DOT1L	
adenosine triphosphate	P2RX1	
adenosine triphosphate	P2RY4	
adenosine triphosphate	JAK2	
adenosine triphosphate	P2RY1	
adenosine triphosphate	P2RY2	
adenosine triphosphate	P2RY11	
adenosine triphosphate	TRPM4	
